#;Código modular;Nombre;Nivel / Modalidad;Estado;Departamento;Provincia;Distrito
1;1794163;115;Primaria;Inactivo;Loreto;Alto Amazonas;Jeberos
2;1795004;241;Primaria;Activo;Lima;Datem del Marañón;Andoas
3;1794916;470;Primaria;Activo;Loreto;Loreto;Nauta
4;1527621;54481;Secundaria;Inactivo;Loreto;Maynas;Napo
5;400523;60001 MENELEO MEZA LOPEZ;Primaria;Activo;Loreto;Maynas;Iquitos
6;400531;60002 ANTONIO ALVAREZ VASQUEZ;Primaria;Activo;Loreto;Maynas;Iquitos
7;397992;60005 MARIA PARADO DE BELLIDO;Primaria;Activo;Loreto;Maynas;Iquitos
8;400606;60007 BRASIL;Primaria;Activo;Loreto;Maynas;Iquitos
9;400614;60008 AMADA PEREZ DE G.;Primaria;Activo;Loreto;Maynas;Iquitos
10;398008;60010 VALENTIN PANIAGUA CORAZAO;Primaria;Activo;Loreto;Maynas;Belén
11;400572;60012 ESTHER ANGULO DE PASQUEL;Primaria;Activo;Loreto;Maynas;Iquitos
12;400622;60013 JOSE ABELARDO QUIÑONES;Primaria;Activo;Loreto;Maynas;Iquitos
13;398016;60014 SANTO CRISTO BAGAZAN;Primaria;Activo;Loreto;Maynas;Belén
14;1153105;60014 SANTO CRISTO BAGAZAN;Secundaria;Activo;Loreto;Maynas;Belén
15;400655;60019 SAN MARTIN DE PORRES;Primaria;Activo;Loreto;Maynas;Iquitos
16;1208933;60019 SAN MARTIN DE PORRES;Secundaria;Activo;Loreto;Maynas;Iquitos
17;400663;60020 JORGE CHAVEZ;Primaria;Activo;Loreto;Maynas;Iquitos
18;398040;60022 JUAN DIEGO NATAL;Primaria;Activo;Loreto;Maynas;Belén
19;1153147;60022 JUAN DIEGO NATAL;Secundaria;Activo;Loreto;Maynas;Belén
20;400671;60023;Primaria;Activo;Loreto;Maynas;Iquitos
21;398057;60024 SAN JUAN DE MIRAFLORES;Primaria;Activo;Loreto;Maynas;San Juan Bautista
22;1153188;60024 SAN JUAN DE MIRAFLORES;Secundaria;Activo;Loreto;Maynas;San Juan Bautista
23;203588;60025;Primaria;Activo;Loreto;Maynas;Belén
24;1527456;60025;Secundaria;Activo;Loreto;Maynas;Belén
25;398065;60026 RUY GUZMAN HIDALGO;Primaria;Activo;Loreto;Maynas;Belén
26;302711;60027;Secundaria;Activo;Loreto;Maynas;San Juan Bautista
27;398073;60027;Primaria;Activo;Loreto;Maynas;San Juan Bautista
28;398081;60029;Primaria;Activo;Loreto;Maynas;Iquitos
29;573352;60029;Secundaria;Activo;Loreto;Maynas;Iquitos
30;203604;60030;Primaria;Activo;Loreto;Maynas;Belén
31;398099;60032;Primaria;Activo;Loreto;Maynas;Belén
32;504795;60032;Secundaria;Activo;Loreto;Maynas;Belén
33;203620;60033;Primaria;Activo;Loreto;Maynas;Belén
34;1527217;60033;Secundaria;Activo;Loreto;Maynas;Belén
35;203638;60034;Primaria;Activo;Loreto;Maynas;Belén
36;1306323;60034;Secundaria;Activo;Loreto;Maynas;Belén
37;1147859;60035;Secundaria;Activo;Loreto;Maynas;Punchana
38;398552;60035;Primaria;Activo;Loreto;Maynas;Punchana
39;398560;60036 LUIS NAVARRO CAUPER;Primaria;Activo;Loreto;Maynas;Iquitos
40;596007;60036 LUIS NAVARRO CAUPER;Secundaria;Activo;Loreto;Maynas;Iquitos
41;203646;60037;Primaria;Activo;Loreto;Maynas;Belén
42;203653;60038;Primaria;Activo;Loreto;Maynas;Belén
43;399550;60039;Primaria;Activo;Loreto;Maynas;Fernando Lores
44;399576;60041;Primaria;Activo;Loreto;Maynas;Fernando Lores
45;1532910;60041;Secundaria;Activo;Loreto;Maynas;Fernando Lores
46;203661;60042;Primaria;Activo;Loreto;Maynas;Fernando Lores
47;399584;60043;Primaria;Activo;Loreto;Maynas;Fernando Lores
